,Word1,Word2,Accepted_Candidate,Unaccepted_Candidate
0,프로젝트,밸브,프로젝브,프로젤브
1,프로젝트,밸브,프로젝브,프로벨브
2,프로젝트,밸브,프로젝브,프로제브
3,프로젝트,밸브,프로젝브,프로젝벨브
4,프로젝트,밸브,프로젤브,프로제브
5,프로젝트,밸브,프로젤브,프로젝벨브
6,프로젝트,밸브,프로벨브,프로제브
7,프로젝트,밸브,프로벨브,프로젝벨브
8,프로젝트,밸브,프로제브,프로젝벨브
9,고갱이,아르헨티나,고겡헨티나,고르헨티나
10,고갱이,아르헨티나,고겡헨티나,고게헨티나
11,고갱이,아르헨티나,고겡헨티나,고그헨티나
12,고갱이,아르헨티나,고겡헨티나,고으헨티나
13,고갱이,아르헨티나,고르헨티나,고게헨티나
14,고갱이,아르헨티나,고르헨티나,고그헨티나
15,고갱이,아르헨티나,고르헨티나,고으헨티나
16,고갱이,아르헨티나,고게헨티나,고으헨티나
17,고갱이,아르헨티나,고그헨티나,고으헨티나
18,녹두,젊음,녹듬,노음
19,녹두,젊음,녹듬,녹두음
20,녹두,젊음,노음,녹두음
21,가입자,그릇,가릇,가그릇
22,가입자,그릇,가릇,가입릇
23,가입자,그릇,가릇,가이릇
24,가입자,그릇,가릇,가으릇
25,가입자,그릇,가그릇,가이릇
26,가입자,그릇,가그릇,가으릇
27,가입자,그릇,가입릇,가이릇
28,가입자,그릇,가입릇,가으릇
29,쌍디귿,개악,쌍닥,싸악
30,쌍디귿,개악,쌍닥,쌍디각
31,쌍디귿,개악,쌍닥,쌍디악
32,쌍디귿,개악,쌍닥,쌍게악
33,쌍디귿,개악,싸악,쌍디각
34,쌍디귿,개악,싸악,쌍디악
35,쌍디귿,개악,싸악,쌍게악
36,쌍디귿,개악,쌍디각,쌍디악
37,쌍디귿,개악,쌍디각,쌍게악
38,쌍디귿,개악,쌍디악,쌍게악
39,가공적,햇병아리,가공자리,가공적리
40,가공적,햇병아리,가공자리,가고아리
41,가공적,햇병아리,가공자리,가공저아리
42,가공적,햇병아리,가공저리,가공적리
43,가공적,햇병아리,가공저리,가고아리
44,가공적,햇병아리,가공저리,가공저아리
45,가공적,햇병아리,가공적리,가고아리
46,가공적,햇병아리,가공적리,가공저아리
47,가공적,햇병아리,가고아리,가공저아리
48,어슷썰기,검문검색,어슷검섹,어순검섹
49,어슷썰기,검문검색,어슷검섹,어슨검섹
50,어슷썰기,검문검색,어슷검섹,어슷썸섹
51,어슷썰기,검문검색,어슷썰섹,어순검섹
