Word1,Word2,Head,Order_Candidates
프로젝트,밸브,1,"[('프로젝브', [0, 2, 5, 2, 1, 0]), ('프로젤브', [0, 2, 5, 2, 1, 1]), ('프로벨브', [0, 2, 5, 2, 1, 1]), ('프로제브', [0, 2, 6, 1, 0, 1]), ('프로젝벨브', [0, 3, 2, 1, 0, 1])]"
고갱이,아르헨티나,1,"[('고겡헨티나', [1, 0, 4, 0, 0, 1]), ('고르헨티나', [1, 0, 5, 0, 0, 0]), ('고게헨티나', [1, 0, 5, 0, 0, 1]), ('고그헨티나', [1, 0, 5, 0, 0, 1]), ('고으헨티나', [1, 0, 6, 0, 0, 1])]"
녹두,젊음,1,"[('녹듬', [1, 0, 4, 0, 0, 1]), ('노음', [1, 0, 6, 0, 0, 1]), ('녹두음', [1, 1, 5, 0, 0, 0])]"
가입자,그릇,1,"[('가릇', [0, 0, 6, 1, 0, 0]), ('가그릇', [0, 1, 4, 1, 0, 0]), ('가입릇', [0, 1, 4, 1, 0, 0]), ('가이릇', [0, 1, 5, 1, 0, 1]), ('가으릇', [0, 1, 5, 1, 0, 1])]"
쌍디귿,개악,1,"[('쌍닥', [1, 0, 6, 0, 0, 1]), ('싸악', [1, 0, 8, 0, 0, 1]), ('쌍디각', [1, 1, 4, 0, 0, 1]), ('쌍디악', [1, 1, 5, 0, 0, 0]), ('쌍게악', [1, 1, 5, 0, 0, 1])]"
가공적,햇병아리,1,"[('가공자리', [1, 0, 9, 0, 0, 1]), ('가공저리', [1, 0, 9, 0, 0, 1]), ('가공적리', [1, 0, 10, 0, 0, 0]), ('가고아리', [1, 0, 11, 0, 0, 1]), ('가공저아리', [1, 1, 8, 0, 0, 1])]"
어슷썰기,검문검색,1,"[('어슷검섹', [1, 0, 11, 0, 0, 1]), ('어슷썰섹', [1, 0, 11, 0, 0, 1]), ('어순검섹', [1, 0, 11, 0, 0, 2]), ('어슨검섹', [1, 0, 11, 0, 0, 2]), ('어슷썸섹', [1, 0, 11, 0, 0, 2])]"
너와집,교육법,1,"[('너육법', [1, 0, 8, 0, 0, 0]), ('너왁법', [1, 0, 8, 0, 0, 1]), ('너와법', [1, 0, 9, 0, 0, 0]), ('너욱법', [1, 0, 9, 0, 0, 1]), ('너와죽법', [1, 1, 6, 0, 0, 1])]"
개벽,개선,1,"[('게벼선', [0, 1, 3, 2, 0, 2]), ('게게선', [0, 1, 4, 2, 0, 2]), ('게베선', [0, 1, 4, 2, 0, 2]), ('게벽선', [0, 1, 5, 2, 0, 1]), ('게에선', [0, 1, 5, 2, 0, 2])]"
바지런,초읽기,1,"[('바짉기', [1, 0, 6, 0, 0, 1]), ('바지기', [1, 0, 7, 0, 0, 0]), ('바읽기', [1, 0, 7, 0, 0, 0]), ('바지럵기', [1, 1, 4, 0, 0, 1]), ('바지릵기', [1, 1, 4, 0, 0, 1])]"
넌더리,가감승제,1,"[('넌감승제', [1, 0, 6, 0, 0, 0]), ('넌덤승제', [1, 0, 6, 0, 0, 1]), ('넌담승제', [1, 0, 6, 0, 0, 1]), ('넌더승제', [1, 0, 7, 0, 0, 0]), ('너감승제', [1, 0, 7, 0, 0, 1])]"
힌트,텁석부리,1,"[('힌석부리', [1, 0, 5, 0, 0, 0]), ('힙석부리', [1, 0, 5, 0, 0, 1]), ('힌턱부리', [1, 0, 5, 0, 0, 1]), ('히석부리', [1, 0, 6, 0, 0, 1]), ('히억부리', [1, 0, 7, 0, 0, 2])]"
냉커피,꺽다리,1,"[('넹커리', [0, 0, 7, 1, 0, 1]), ('넥다리', [0, 0, 7, 1, 0, 1]), ('넹다리', [0, 0, 7, 1, 0, 1]), ('넹카리', [0, 0, 7, 1, 0, 2]), ('넹커피리', [0, 1, 7, 1, 0, 1])]"
가운뎃손가락,골프장,1,"[('갈프장', [0, 0, 15, 1, 0, 1]), ('가프장', [0, 0, 16, 1, 0, 0]), ('가운장', [0, 0, 16, 1, 0, 0]), ('가우장', [0, 0, 17, 1, 0, 1]), ('가으장', [0, 0, 17, 1, 0, 1])]"
똥물,샤머니즘,1,"[('똥머니즘', [0, 0, 6, 1, 0, 0]), ('똥무니즘', [0, 0, 6, 1, 0, 1]), ('똥무이즘', [0, 0, 7, 1, 0, 2]), ('똥물니즘', [0, 0, 10, 1, 0, 0]), ('똥먀머니즘', [0, 1, 3, 1, 0, 1])]"
빨래,가루비누,1,"[('빨루비누', [0, 0, 4, 1, 0, 0]), ('빠루비누', [0, 0, 5, 1, 0, 1]), ('빠우비누', [0, 0, 6, 1, 0, 2]), ('빨레비누', [0, 0, 8, 1, 0, 1]), ('빨레이누', [0, 0, 8, 1, 0, 2])]"
히읗,균형적,1,"[('힌형적', [1, 0, 5, 0, 0, 1]), ('히형적', [1, 0, 6, 0, 0, 0]), ('히영적', [1, 0, 7, 0, 0, 1]), ('히엉적', [1, 0, 8, 0, 0, 1]), ('히응적', [1, 0, 8, 0, 0, 1])]"
레슨,맴매,1,"[('렘메', [0, 0, 5, 1, 0, 2]), ('레메', [0, 0, 6, 1, 0, 1]), ('레셈메', [0, 1, 3, 1, 0, 2]), ('레슴메', [0, 1, 3, 1, 0, 2]), ('레멤메', [0, 1, 3, 1, 0, 2])]"
씨앗,밴댕이,1,"[('씨아이', [1, 0, 7, 0, 0, 1]), ('씨이', [1, 1, 8, 0, 0, 0])]"
겨룸,난항,1,"[('갼항', [1, 0, 5, 0, 0, 1]), ('견항', [1, 0, 5, 0, 0, 1]), ('겨항', [1, 0, 6, 0, 0, 0]), ('겨난항', [1, 1, 3, 0, 0, 0]), ('겨룬항', [1, 1, 3, 0, 0, 1])]"
토사구팽,복숭아뼈,1,"[('토사구뼈', [0, 0, 10, 1, 0, 0]), ('토사가뼈', [0, 0, 10, 1, 0, 1]), ('토사아뼈', [0, 0, 11, 1, 0, 0]), ('토사구파뼈', [0, 1, 8, 1, 0, 1]), ('토사구페뼈', [0, 1, 8, 1, 0, 1])]"
몫돈,고목,1,"[('몫목', [0, 0, 5, 1, 0, 0]), ('모목', [0, 0, 6, 1, 0, 1]), ('몫고목', [0, 1, 3, 1, 0, 0]), ('몫도목', [0, 1, 3, 1, 0, 1]), ('모고목', [0, 1, 4, 1, 0, 1])]"
개량형,개선문,1,"[('게량문', [0, 0, 9, 2, 0, 1]), ('게련문', [0, 0, 9, 2, 0, 2]), ('게랸문', [0, 0, 9, 2, 0, 2]), ('게랴문', [0, 0, 10, 2, 0, 2]), ('게런문', [0, 0, 10, 2, 0, 2])]"
암컷,콘센트,1,"[('암센트', [1, 0, 6, 0, 0, 0]), ('암컨트', [1, 0, 6, 0, 0, 1]), ('암켄트', [1, 0, 6, 0, 0, 1]), ('암커트', [1, 0, 7, 0, 0, 1]), ('암컷트', [1, 0, 8, 0, 0, 0])]"
목덜미,깊이,1,"[('목디', [1, 0, 7, 0, 0, 1]), ('모이', [1, 0, 9, 0, 0, 1]), ('목더이', [1, 1, 6, 0, 0, 1]), ('목덜미이', [1, 2, 4, 0, 0, 0])]"
인슐린,바깥일,1,"[('인슐릴', [1, 0, 7, 0, 0, 1]), ('인슈일', [1, 0, 9, 0, 0, 1]), ('인슐리일', [1, 1, 6, 0, 0, 1]), ('인실', [1, 1, 11, 0, 0, 1])]"
공휴일,봄나들이,1,"[('공휴이이', [0, 0, 9, 1, 0, 0]), ('공휴이', [0, 1, 9, 1, 0, 0]), ('공히', [0, 2, 12, 1, 0, 1]), ('고이', [0, 2, 14, 1, 0, 1])]"
곰방대,고무바퀴,1,"[('곰방바퀴', [0, 0, 6, 2, 0, 0]), ('곰방다퀴', [0, 0, 6, 2, 0, 1]), ('곰무바퀴', [0, 0, 7, 2, 0, 0]), ('곰바바퀴', [0, 0, 7, 2, 0, 0]), ('곰부바퀴', [0, 0, 7, 2, 0, 1])]"
미완성,부챗살,1,"[('미완살', [0, 0, 8, 1, 0, 0]), ('미쳇살', [0, 0, 8, 1, 0, 1]), ('미왓살', [0, 0, 8, 1, 0, 1]), ('미웻살', [0, 0, 8, 1, 0, 1]), ('미완셋살', [0, 1, 5, 1, 0, 1])]"
덧문,가뭄,1,"[('덧뭄', [1, 0, 5, 0, 0, 0]), ('더뭄', [1, 0, 6, 0, 0, 1]), ('덧가뭄', [1, 1, 3, 0, 0, 0]), ('덧마뭄', [1, 1, 3, 0, 0, 1]), ('덧무뭄', [1, 1, 3, 0, 0, 1])]"
감옥소,안간힘,1,"[('감간힘', [1, 0, 6, 0, 0, 0]), ('간간힘', [1, 0, 6, 0, 0, 0]), ('가간힘', [1, 0, 7, 0, 0, 1]), ('가안힘', [1, 0, 8, 0, 0, 1]), ('가안간힘', [1, 1, 5, 0, 0, 1])]"
가장행렬,착륙,1,"[('각륙', [0, 0, 12, 1, 0, 1]), ('가륙', [0, 0, 13, 1, 0, 0]), ('가장륙', [0, 1, 10, 1, 0, 0]), ('가착륙', [0, 1, 10, 1, 0, 0]), ('가작륙', [0, 1, 10, 1, 0, 1])]"
강철봉,짝짜꿍,1,"[('강철꿍', [0, 0, 8, 1, 0, 0]), ('강짜꿍', [0, 0, 9, 1, 0, 0]), ('강차꿍', [0, 0, 9, 1, 0, 1]), ('강처꿍', [0, 0, 9, 1, 0, 1]), ('각짜꿍', [0, 0, 9, 1, 0, 1])]"
펴낸이,갖가지,1,"[('펴가지', [0, 0, 7, 1, 0, 0]), ('펴나지', [0, 0, 7, 1, 0, 1]), ('펴네지', [0, 0, 7, 1, 0, 1]), ('퍚가지', [1, 0, 6, 0, 0, 1]), ('펴넨지', [1, 0, 6, 0, 0, 1])]"
밥솥,군령,1,"[('밥령', [1, 0, 6, 0, 0, 0]), ('반령', [1, 0, 6, 0, 0, 1]), ('바령', [1, 0, 7, 0, 0, 1]), ('밥군령', [1, 1, 3, 0, 0, 0]), ('밥순령', [1, 1, 3, 0, 0, 1])]"
스탠드바,아랫것,1,"[('스렛것', [1, 0, 8, 0, 0, 1]), ('스텐것', [1, 0, 8, 0, 0, 1]), ('스텟것', [1, 0, 8, 0, 0, 1]), ('스엣것', [1, 0, 9, 0, 0, 1]), ('스테것', [1, 0, 9, 0, 0, 1])]"
겨룸,판잣집,1,"[('견잣집', [1, 0, 5, 0, 0, 1]), ('갼잣집', [1, 0, 5, 0, 0, 1]), ('겨잣집', [1, 0, 6, 0, 0, 0]), ('겨룻집', [1, 0, 6, 0, 0, 1]), ('겨랏집', [1, 0, 6, 0, 0, 1])]"
갤러리,에티켓,1,"[('겔러켓', [1, 0, 5, 0, 0, 1]), ('겔리켓', [1, 0, 5, 0, 0, 1]), ('겔티켓', [1, 0, 5, 0, 0, 1]), ('게티켓', [1, 0, 6, 0, 0, 1]), ('게이켓', [1, 0, 7, 0, 0, 2])]"
벚나무,낱잔,1,"[('벚잔', [0, 0, 7, 1, 0, 0]), ('벝잔', [0, 0, 7, 1, 0, 1]), ('벚낱잔', [0, 1, 4, 2, 0, 0]), ('벚나잔', [0, 1, 5, 2, 0, 0]), ('벚나낱잔', [0, 2, 2, 2, 0, 0])]"
기타,과육,1,"[('기튝', [0, 0, 4, 1, 0, 1]), ('기육', [0, 0, 5, 1, 0, 0]), ('기타육', [0, 1, 2, 1, 0, 0]), ('기아육', [0, 1, 4, 1, 0, 1]), ('기타아육', [0, 2, 6, 1, 0, 1])]"
팸플릿,걸상,1,"[('펨걸상', [0, 1, 6, 1, 0, 1]), ('펨플상', [0, 1, 6, 1, 0, 1]), ('펨펄상', [0, 1, 6, 1, 0, 2]), ('펨플걸상', [0, 2, 3, 1, 0, 1]), ('펨플릴상', [0, 2, 3, 1, 0, 2])]"
뱁새눈,가무,1,"[('벱가무', [0, 1, 5, 1, 0, 1]), ('벱세무', [0, 1, 5, 1, 0, 2]), ('벱사무', [0, 1, 5, 1, 0, 2]), ('벱세누무', [0, 2, 3, 1, 0, 3]), ('벱세눈무', [0, 2, 4, 1, 0, 2])]"
